Rest_id,Rest_name,Cuisines,CFT,Locality,Total_Orders,Late_Night_Orders,Priority,Zomato_Ratings,Zomato_total_votes
28392,Vasudev Adiga's,"North Indian,Chinese,Biryani,Desserts,South Indian,Fast Food,Beverages",300,Uttarahalli,188,-,P4,-,-
28393,Mr. Singh Da Dhaba,"North Indian,Chinese,Punjabi",200,Kumaraswamy Layout,441,-,P2,-,-
28394,Playteria,Cafe,400,Dr. Ambedkar Road,13,4,P3,-,-
28395,LeanWok,Healthy Food,500,Evershine Sapphire,64,-,P4,-,-
28396,Mumbai Tadka,"North Indian,Chinese,Mughlai",600,Behind SM Shetty High School,54,3,P3,3.5,49
28397,Biryani Kraft,Biryani,500,Thippasandra Main Road,25,-,P2,-,-
28398,Succulence,Bakery,300,"D-Mart Road, Sector 15",9,-,P3,-,-
28399,Wow! China,"Chinese,Desserts,Seafood",350,Cst Road,26,5,P3,-,-
28400,Hungry Head,"Desserts,Fast Food,Beverages",400,Opposite Kotak Mahindra Bank,235,8,P1,-,-
28401,Mandarin Panda,Chinese,400,Malad West,45,6,P3,-,-
28402,Cafe Hangout,"North Indian,Chinese,Seafood",700,Opposite Post Office,4,-,P4,-,-
28405,Wok Express,"Chinese,Seafood,Thai,Asian,Healthy Food,Sushi",550,Bandra Kurla Complex,56,-,P2,-,-
28406,Food Planet,Fast Food,350,Opposite Diamond Jubilee School,40,-,P3,-,-
28407,Upper Deck,"North Indian,Chinese,Continental,Mexican",1200,Centurian Mall,19,2,P2,-,-
28408,Wok Express,"Chinese,Seafood,Thai,Asian,Healthy Food,Japanese,Sushi",550,Churchgate,121,-,P2,-,-
28409,Sunny Da Dhaba,"North Indian,Chinese",550,Rajeev Gandhi Nagar,60,2,P2,-,-
28410,Wok Express,"Chinese,Seafood,Thai,Asian,Healthy Food,Sushi",550,Lokhandwala Complex,68,-,P1,-,-
28411,Wok Express,"Chinese,Seafood,Asian,Healthy Food,Japanese,Sushi",550,Kemps Corner,114,-,P1,-,-
28412,Wok Express,"Chinese,Seafood,Thai,Japanese,Sushi",550,Pali Hill,147,-,P1,-,-
28413,Babu Vada Pav,"Fast Food,Street Food",100,Hanuman Road,211,-,P1,-,-
28414,Bombay Burger's,Fast Food,250,Nerul Railway Station,39,-,P3,-,-
28415,Cool Cream Ice Cream Parlour,"Desserts,Ice Cream",250,Shivaji Nagar,7,-,P3,-,-
28416,Littoo,North Indian,200,Military road,283,-,P3,-,-
28417,Thangabali,South Indian,300,Takandas Kataria Marg,151,8,P3,-,-
28418,Donne Biriyani Mane,Biryani,250,Kumaraswamy Layout,408,-,P3,-,-
28419,Bamboo Pot,"Chinese,Seafood,Biryani,Fast Food,Thai",650,JVPD Bus Depot,60,8,P3,3,37
28420,R Bhagat Tarachand,"North Indian,Chinese,Mongolian",550,Vashi Sector 19,9,-,P2,3.6,175
28420,R. Bhagat Tarachand,"North Indian,Chinese,Mongolian",550,Vashi Sector 19,170,6,P2,3.6,175
28420,R. Bhagat Tarrachand,"North Indian,Chinese,Mongolian",550,Vashi Sector 19,24,2,P2,3.6,175
28421,Inside China,"Chinese,Seafood,Thai",1100,Sector 7,8,1,P1,-,-
28422,Hotel Shree G. Bhagat Tarachand,North Indian,300,Zaveri Bazaar,268,-,P1,-,-
28423,Jyoti Lunch Home,"Mughlai,North Indian,Chinese,Seafood",600,MG Road,46,1,P3,3.3,20
28424,Atty's Bakery,"Desserts,Ice Cream",200,Frazer town,33,-,P1,-,-
28426,Green House Cafe,"North Indian,Chinese,Continental",200,"Pocket 5, Sector 12, Dwarka",18,7,P4,-,-
28427,Amritsari Kulcha Express,North Indian,350,"DDA Market, Paschim Vihar",46,-,P3,-,-
28428,Dos Bros Taco,Mexican,250,"Sector 12, Dwarka",84,5,P3,-,-
28429,Rajasthani Tadka,"North Indian,Rajasthani",500,"Sector 12, Dwarka",2,-,P4,-,-
28430,Best In Burgers,Fast Food,200,"Sector 10, Dwarka",147,21,P4,-,-
28431,Shri Ganesh Rasoi,North Indian,350,"DDA Market, Paschim Vihar",71,-,P4,-,-
28432,Thaliram,Indian,250,DC chowk,264,61,P3,-,-
28433,Chill House Kafe,"Continental,Fast Food",300,Janpath,1,-,P4,-,-
28434,Noon Al Zaitoon,Mughlai,500,near fire station,34,6,P4,-,-
28435,Rollacious,"Fast Food,Beverages",150,Mukharjee Nagar,69,7,P3,-,-
28436,Al-raaya,North Indian,500,Civil Lines,31,16,P3,-,-
28437,Masala Kitchen,"North Indian,Mughlai",350,"Sector 20, Dwarka",5,-,P4,-,-
28439,Mashoor Gulati,"North Indian,Mughlai",500,Shalimar Bagh,15,-,P4,-,-
28440,Dastarkhaan,"North Indian,Mughlai",500,Fountain Chowk,1,-,P3,-,-
28441,Grand Bikaner,"Bakery,Sweets",500,Aggarwal chambers,23,-,P3,-,-
28442,Giani's,Desserts,200,Shakti Park,78,16,P4,-,-
28443,Delhi Chaap Express,North Indian,300,Permanand Colony,5,-,P4,-,-
28445,Men In The Kitchen,"North Indian,Chinese,Mughlai",350,Dwarka,23,-,P1,-,-
28446,Sindhi Meat & Chicken,"North Indian,Mughlai",400,Fountain Chowk,31,6,P6,-,-
28447,Spooky Sky,"North Indian,Chinese,Fast Food,Italian",650,R.K. Ashram Metro Station,5,-,P1,-,-
28448,Giani's,Desserts,300,Sector 18,145,30,P3,-,-
28449,Baskin Robbins,Desserts,300,Kirti Nagar,25,-,P3,-,-
28450,Spice Box,Indian,200,East patel nagar,30,-,P3,-,-
28451,Grover Sweets & Bakers,"North Indian,Chinese,Bakery",300,Uttam Nagar,578,-,P1,-,-
28452,Giani's,Ice Cream,500,Gopal Mandir road,132,11,P2,-,-
28453,Baskin Robbins,Desserts,300,Rajouri Garden,40,5,P1,-,-
28455,Spice Grill Express,"North Indian,Chinese",650,Dwarka Sector 6,10,-,P6,-,-
28456,Kulcha Junction,"North Indian,Punjabi",300,Hanuman Road,81,-,P6,-,-
28457,Nagpal Chholey Bhature,"Street Food,Snacks",200,Major Dhyanchand Sports Complex,468,-,P1,-,-
28458,The Fruit Shop On Greams Road,Juices,300,Anna Nagar East,229,5,P1,-,-
28459,Guru Kripa Chole Bhaturey,Street Food,150,Ashok Vihar phase 3,17,-,P6,-,-
28460,Grand Bikaner,"Bakery,Sweets",500,Rani bagh,30,-,P3,-,-
28462,The Fortuna,"North Indian,Chinese,Biryani,Mughlai",300,M.R Complex,51,-,P3,-,-
28463,Mamatha Hyderabadi Biryani,"North Indian,Chinese,Andhra,Biryani,Seafood",300,1 Stage,124,30,P3,-,-
28464,Drunken Monkey,"Desserts,Cafe,Beverages,Healthy Food,Juices",350,4th block,37,-,P4,-,-
28465,Drunken Monkey,"Desserts,Cafe,Beverages,Healthy Food,Juices",350,4th Block,145,7,P3,-,-
28466,Drunken Monkey,"Desserts,Cafe,Beverages,Healthy Food,Juices",350,HAL 2nd Stage,183,14,P2,-,-
28467,Creamist,"Desserts,Beverages,Ice Cream",200,Koramangala,117,33,P1,-,-
28468,Desi Vibes Vegetarian's Delight,"North Indian,Chinese,Jain",400,16th main road,251,-,P3,-,-
28469,FYI,"Chinese,Fast Food,Street Food",300,Koramangala,78,25,P3,-,-
28470,Dairy Day Corner,"Desserts,Fast Food",300,SLV COMPLEX,32,-,P4,-,-
28471,Sri Sai Chat & Juice Corner,"Fast Food,Chaat,Juices",200,Alamelumagapuram road,144,-,P2,-,-
28472,Krisp N Kream,"Fast Food,Bakery,Beverages,Salads",300,Pattinapakkam,18,-,P2,-,-
28473,China Chef's Chineese & Thai Restaurant,"Chinese,Thai",300,Mayuri Marg,289,-,P3,-,-
28474,Aromas of Punjab,"North Indian,Chinese",600,Prashanth Nagar colony,88,38,P3,-,-
28475,Dusk Miller Confectionery,Bakery,150,Inorbit mall road,14,-,P3,-,-
28478,New Cafe Southern,"Chinese,Andhra,South Indian,Tandoor",350,Image gardens road,156,-,P3,-,-
28479,Goli Soda,"Beverages,Healthy Food",200,RS Towers,426,-,P1,-,-
28482,"V 'n' F, Vadapav 'n' Frankie",Indian,150,Janakpuri,24,-,P6,-,-
28483,"V 'n' F, Vadapav 'n' Frankie",Indian,100,Pitampura,5,-,P4,-,-
28484,TheHelloFood.com,"North Indian,Chinese,Andhra,Biryani",300,Ayyappa Society,670,108,P3,-,-
28485,New Santosh Dhaba,"North Indian,Chinese,Tandoor",300,suchitra circle,338,-,P3,-,-
28486,Chefs Paradise Restaurant,Hyderabadi,300,Serlingampally,206,-,P3,-,-
28487,Sanjos Donuts,Desserts,250,6th Phase KPHB,29,-,P2,-,-
28489,Snicky's Shawarma And Sony's Sharjah,"Arabian,Lebanese",300,Nizampet Rd,172,-,P2,-,-
28490,Stone Mix Creamery,Ice Cream,300,Hitec city road,17,-,P3,-,-
28492,The Egg stop - Omelette cafe,American,300,Kapil towers,13,2,P4,-,-
28493,Sandwedges,"Continental,Italian",200,Hitec city road,96,4,P1,-,-
28494,Shabri,Chinese,450,Anand Nagar,10,1,P3,-,-
28495,Mahlzeit - Berlin Street Food,Fast Food,400,Pali Mala Road,177,-,P6,-,-
28496,Kutchhi Deli,"North Indian,Gujarati",450,Sector 19D,52,-,P4,-,-
28497,O! China,Chinese,450,LBS Marg,19,2,P4,-,-
28498,Cafe Social Beans,"Continental,Cafe",500,Thakur Village,122,-,P1,-,-
28499,The Dessert Street,"Desserts,Bakery",300,Mahalaxmi Industrial Estate,3,-,P1,-,-
28500,Harish Lunch Home,"North Indian,Chinese,Mangalorean,Seafood,Malwani",450,Savita Nagar,52,1,P4,-,-
28501,Svadista,Fast Food,300,Next to Gol Garden,64,-,P2,-,-
28502,Spice Mantra,North Indian,450,"Majiwada, Thane West",13,1,P3,-,-
28503,Lokmanya Lunch home,North Indian,400,"Upvan, Thane West",38,-,P4,-,-
28504,Velvet Garden,Indian,500,Thane West,1,-,P3,-,-
28505,Cheese and Spice,"Biryani,Continental,Fast Food,Pizzas",300,Near Juthica tower,38,10,P3,-,-
28506,Prachi Sandwich Corner,Fast Food,200,Ramchandra Nagar,8,-,P3,-,-
28507,Fuel Fast Food,Fast Food,150,Near Dhyanasadhan college,7,-,P3,-,-
28508,Grills & Grills,North Indian,250,LBS Road,15,-,P3,-,-
28509,Krazy Rolls,Fast Food,300,"Near D-Mart, Kolshet Road",27,-,P3,-,-
28510,Veg Darbar,North Indian,400,Dhokali,11,-,P3,-,-
28510,Veg Durbar,North Indian,400,Dhokali,26,-,P3,-,-
28511,The Belgian Waffle Co.,Desserts,250,Vallabh Baug Lane,313,-,P3,-,-
28512,Tuli's Food Factory,"Mughlai,North Indian,Chinese",600,Palm Beach Road,4,-,P3,-,-
28513,Coastal Lunch Home,"North Indian,Seafood,Tandoor",400,Holy Cross Convent School,2,-,P3,-,-
28514,Lazeez,"Chinese,Tandoor,Kebabs",400,Near Cinemax Kankia,2,-,P3,-,-
28515,Cottage Grill,"North Indian,Chinese,Continental,Tandoor",400,opp maher hall,82,-,P3,-,-
28516,Shabri,"Chinese,Seafood",600,"Waghbil Naka, Ghodbunder Road",13,-,P2,-,-
28517,Oven Hot,"Fast Food,Bakery",350,"Manpada, Thane West",44,-,P2,-,-
28518,Grill & Chil,"North Indian,Chinese",500,Jagdish Industrial Estate,19,-,P3,-,-
28519,Shabri,"Chinese,Seafood",600,Runwal Plaza,14,1,P2,-,-
28521,Chef Salute,"Chinese,Thai,Indian,Beverages",400,Connaught Place,9,-,P4,-,-
28522,Karim's,"North Indian,Mughlai",700,Kaushambi,24,-,P3,-,-
28527,The Fat Chef's Cafe,"Continental,Italian,Fast Food,Mexican,Cafe",550,JSD Road,78,2,P2,-,-
28529,Bharat Bhojan,"North Indian,Chinese,Chaat,Mughlai,Indian",400,Venkatesha Chowdry Street,149,-,P2,-,-
28530,Karavali Biriyani Mane,"North Indian,Chinese,Biryani,Seafood,Coastal",300,kadhirnhalli cross,3,-,P4,-,-
28532,Big Bowl,"North Indian,Chinese,South Indian",300,Sri Shyam Nagar,590,-,P3,-,-
28534,Firangi Bake,"Continental,Italian,Mexican,Spanish",600,DLF City Court,5,-,-,-,-
28535,Firangi Bake,"Continental,Italian,Mexican,Spanish",600,AVA Court,4,-,-,-,-
28536,Firangi Bake,"Continental,Italian,Mexican,Spanish",600,Shushant  Shopping Arcade,5,-,-,-,-
28537,Firangi Bake,"Continental,Italian,Mexican,Spanish",600,SCO no 48,21,-,-,-,-
28538,Firangi Bake,"Continental,Italian,Mexican,Spanish",600,Near Laxmi  Narayan Mandir,3,-,-,-,-
28539,84 Anjuna Shack,Continental,500,Kothguda X road,43,-,P2,-,-
28540,Southern express,"Arabian,Chinese,South Indian,Juices",200,SLN Terminus,81,-,P3,-,-
28543,Filmy Kitchen,"North Indian,Fast Food,Cafe,Beverages,Jain",400,Green Glen Layout,41,-,P2,-,-
28544,Waffle house,"Cafe,Desserts",400,Hitec city,72,-,P1,-,-
28547,Pasta Factory,-,600,Nagavara & Hennur,93,-,P1,-,-
28548,Firangi Bake,"Italian,Mexican,Spanish",600,Big Bazzar,1,-,-,-,-
28549,Bawarchi Inn,"North Indian,Chinese,Biryani,South Indian,Beverages",499,Outer Ring Road,165,19,P2,-,-
28550,Kidilum,"North Indian,Chinese,Biryani,Kerala,Seafood,Coastal",500,Pattandura Agrahara,345,-,P2,-,-
28551,Deliziyo,"North Indian,Biryani,Fast Food,Rajasthani,Gujarati",300,Mahakali Caves Road,125,-,P3,-,-
28552,Rumi's,Mughlai,600,"16th Road, Pali Hill",27,2,P6,-,-
28554,Mr. Brown Confectionery,Bakery,350,"Opposite Sandoz, Digha",3,-,P4,-,-
28555,Kettle & Keg,"Continental,Italian,Cafe,Bakery",1300,"Kinchin CHS, 14th Road",44,4,P1,-,-
28556,The Momos Machine,Street Food,200,Sector 20D,34,-,P3,-,-
28557,Rajwada Thal,"Rajasthani,Gujarati",800,Next to Asian Hearts Hospital,89,-,P2,-,-
28559,Rasobongo,"North Indian,Sweets",100,Poonam Gardans,7,-,P3,-,-
28560,Aaha Andhra,"Andhra,Biryani,South Indian",400,Nagavara,88,-,P1,-,-
